ang_1,ang_2,ang_3,ang_4,ang_5,ang_6,ang_7,ang_8,label

167,154,178,178,176,146,166,178,enter
166,154,177,179,176,146,166,179,enter
166,155,176,179,175,146,166,179,enter
166,156,176,179,175,147,166,179,enter
166,156,175,180,174,147,166,179,enter
165,156,175,180,174,148,166,179,enter
166,157,174,179,174,147,167,178,enter
165,157,174,179,173,148,167,178,enter
165,158,174,179,173,149,167,178,enter
165,159,175,180,172,149,167,178,enter
165,159,175,180,172,150,167,178,enter
164,159,175,180,172,150,167,178,enter
165,160,175,180,172,150,167,178,enter
165,160,175,180,173,151,167,178,enter
165,160,175,180,172,151,167,178,enter
165,160,175,180,172,151,167,178,enter
164,159,175,180,172,151,167,178,enter
164,159,175,180,172,151,167,178,enter
164,159,175,180,172,151,167,178,enter
165,158,175,180,175,150,167,178,enter
166,158,175,180,175,149,167,178,enter
165,157,175,179,175,149,167,178,enter
165,157,175,179,175,149,167,178,enter
165,157,175,179,175,149,167,178,enter
165,157,175,179,173,148,166,179,enter
165,156,175,179,174,147,167,178,enter
166,156,175,179,175,146,167,178,enter
166,156,175,179,176,146,167,178,enter
166,155,175,179,176,145,167,178,enter
166,155,175,179,177,145,167,178,enter
167,155,175,180,178,145,167,179,enter
167,155,175,180,178,144,167,179,enter
167,155,175,180,179,144,167,179,enter
168,155,175,180,178,143,167,179,enter
167,154,175,180,179,143,167,179,enter
168,154,175,180,179,143,167,179,enter
169,154,175,180,179,142,167,179,enter
168,153,175,180,179,142,167,179,enter
168,153,175,180,180,142,167,179,enter
168,153,175,180,179,142,167,179,enter
169,153,175,180,180,141,167,179,enter
169,153,175,180,179,141,167,179,enter
168,152,175,180,178,141,167,179,enter
168,152,175,180,178,140,167,179,enter
168,151,175,180,177,140,167,179,enter
168,151,175,180,177,139,167,179,enter
169,151,175,180,177,139,167,179,enter
169,150,175,180,177,138,167,179,enter
169,150,175,180,177,138,167,179,enter
170,150,175,180,177,138,167,179,enter
169,150,174,180,177,137,167,179,enter
170,150,174,180,177,137,167,179,enter
170,150,174,180,177,137,167,179,enter
170,150,174,180,177,137,167,180,enter
170,150,174,180,178,136,167,180,enter
170,150,174,180,178,136,168,179,enter
170,150,174,180,178,136,168,179,enter
170,150,174,180,178,136,168,179,enter
170,150,174,180,178,136,168,179,enter
170,150,174,180,178,136,168,179,enter
169,149,174,180,178,136,168,179,enter
169,149,174,180,178,136,168,179,enter
169,149,174,180,178,136,168,179,enter
169,149,174,180,178,136,168,179,enter
169,149,174,180,178,136,168,179,enter
169,149,174,180,178,136,168,179,enter
169,149,174,180,179,136,168,179,enter
169,149,174,180,179,136,168,179,enter
169,149,174,180,179,135,169,179,enter
169,149,174,180,179,135,169,179,enter
169,149,174,180,180,135,169,179,enter
168,149,174,180,180,135,169,179,enter
168,149,174,180,180,136,167,180,enter
168,149,174,180,179,136,167,180,enter
167,149,174,180,180,137,167,180,enter
167,149,174,180,180,137,167,180,enter
167,149,174,180,179,137,167,180,enter
